 2017-03-21 19:11:31,037 [P15456/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.11 application starting on DESKTOP-MSBD79S
 2017-03-21 19:11:31,274 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-03-21 19:11:31,632 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 356ms)
 2017-03-21 19:11:32,302 [P15456/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-03-21 19:11:32,306 [P15456/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-03-21 19:11:32,318 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-03-21 19:11:34,133 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 1815ms)
 2017-03-21 19:11:36,117 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-03-21 19:11:36,121 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 4ms)
 2017-03-21 19:11:36,122 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-03-21 19:11:36,126 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 3ms)
 2017-03-21 19:11:36,201 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-03-21 19:11:36,208 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
 2017-03-21 19:11:36,211 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-03-21 19:11:36,326 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 115ms)
 2017-03-21 19:11:39,102 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-03-21 19:11:39,104 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-03-21 19:11:39,105 [P15456/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
